time,lp_id,pct_access,engagement_index
1/1/2020,64947,0.09,0.91
1/1/2020,52758,0.09,1.83
1/1/2020,25559,0.09,13.71
1/1/2020,13496,0.09,4.57
1/1/2020,94984,0.09,1.83
1/1/2020,95731,0.91,59.41
1/1/2020,80616,0.27,6.4
1/1/2044,47364,0.18,10.05
1/1/2020,57949,0.09,1.83
1/1/2020,68019,0.09,3.66
1/1/2020,53399,0.09,4.57
1/1/2020,69429,0.09,5.48
1/1/2020,73952,0.09,3.66
1/1/2020,33562,0.09,2.74
1/1/2020,32213,0.18,6.4
1/1/2020,54430,0.09,0.91
1/1/2020,26488,0.82,44.79
1/1/2020,36620,0.18,20.11
1/1/2020,99916,0.64,26.51
1/1/2020,54827,0.18,21.94
1/1/2020,98265,0.09,3.66
1/1/2020,69827,0.09,0.91
1/1/2020,92993,0.64,83.18
1/1/2020,55007,0.09,2.74
1/1/2020,90153,0.18,6.4
1/2/2020,95859,0.82,115.17
1/2/2020,29916,0.09,1.83
1/2/2020,16164,0.09,1.83
1/2/2020,45811,0.37,27.42
1/2/2020,99916,10.79,382.08
1/2/2020,16633,0.27,7.31
1/2/2020,58840,0.09,4.57
1/2/2020,55589,0.09,2.74
1/2/2020,77698,0.09,0.91
1/2/2020,20594,0.09,0.91
1/2/2020,18090,0.09,1.83
1/2/2020,13496,2.83,122.49
1/2/2020,69429,0.09,0.91
1/2/2020,32340,0.09,1.83
1/2/2020,85072,0.09,0.91
1/2/2020,76459,0.09,0.91
1/2/2020,18904,0.09,11.88
1/2/2020,99066,0.09,4.57
1/2/2020,30851,0.09,0.91
1/2/2020,46831,0.09,6.4
1/2/2020,95731,13.71,1112.43
1/2/2020,51853,0.09,1.83
1/2/2020,30025,0.09,2.74
1/2/2020,25559,7.68,1591.41
1/2/2020,36692,0.09,0.91
1/2/2020,64947,1.01,44.79
1/2/2020,26488,8.87,2084.1
1/2/2020,83076,0.09,1.83
1/2/2020,14168,0.91,90.49
1/2/2020,85975,0.09,3.66
1/2/2020,61384,2.47,378.43
1/2/2020,54827,1.28,153.56
1/2/2020,47364,9.41,719.38
1/2/2020,57949,1.28,215.72
1/2/2020,79673,0.09,0.91
1/2/2020,98265,1.74,234.92
1/2/2020,98343,0.09,0.91
1/2/2020,81189,0.09,0.91
1/2/2020,28199,0.27,72.21
1/2/2020,60286,0.27,4.57
1/2/2020,61441,1.1,35.65
1/2/2020,92993,16.73,2221.21
1/2/2020,72713,0.18,4.57
1/2/2020,97280,3.2,625.23
1/2/2020,50712,0.27,25.59
1/2/2020,16468,1.01,20.11
1/2/2020,64838,0.09,0.91
1/2/2020,24504,0.09,0.91
1/2/2020,24829,0.27,10.97
1/2/2020,26372,0.27,4.57
1/2/2020,93690,0.09,2.74
1/2/2020,94954,0.55,9.14
1/2/2020,49751,0.09,0.91
1/2/2020,46819,0.09,0.91
1/2/2020,90153,0.18,12.8
1/2/2020,52758,0.09,0.91
1/2/2020,73952,2.93,105.12
1/2/2020,83848,0.18,15.54
1/2/2020,79652,0.09,0.91
1/2/2020,37017,0.09,0.91
1/2/2020,65358,0.18,7.31
1/2/2020,54430,0.64,22.85
1/2/2020,63335,0.09,2.74
1/2/2020,78730,0.27,2.74
1/2/2020,18296,0.09,0.91
1/2/2020,86059,0.37,20.11
1/2/2020,27940,0.64,6.4
1/2/2020,41980,0.09,0.91
1/2/2020,96111,0.09,0.91
1/2/2020,36102,0.09,0.91
1/2/2020,92844,3.29,213.89
1/2/2020,11406,0.09,0.91
1/2/2020,71805,0.18,4.57
1/2/2020,50479,0.09,3.66
1/2/2020,91165,1.19,44.79
1/2/2020,72468,0.09,0.91
1/2/2020,33326,0.09,0.91
1/2/2020,10533,0.09,3.66
1/2/2020,83248,0.18,33.82
1/2/2020,85781,0.09,0.91
1/2/2020,10625,0.18,5.48
1/2/2020,96706,0.09,46.62
1/2/2020,69863,0.27,5.48
1/2/2020,87342,0.09,0.91
1/2/2020,32213,8.04,624.31
1/2/2020,58235,0.09,0.91
1/2/2020,29322,0.09,0.91
1/2/2020,13591,0.37,7.31
1/2/2020,15266,0.09,0.91
1/2/2020,57371,0.09,0.91
1/2/2020,99674,0.27,49.36
1/2/2020,78818,0.09,1.83
1/2/2020,11206,0.09,0.91
1/2/2020,11712,4.75,764.17
1/2/2020,35007,0.18,3.66
1/2/2020,72758,0.18,1.83
1/2/2020,33562,1.01,27.42
1/2/2020,76649,0.18,1.83
1/2/2020,36620,0.37,21.02
1/2/2020,80144,0.46,6.4
1/2/2020,86775,0.09,70.38
1/2/2020,10650,0.09,0.91
1/2/2020,83270,0.09,8.23
1/2/2020,28504,0.09,1.83
1/2/2020,13117,0.73,21.94
1/2/2020,22506,0.09,0.91
1/2/2020,68019,2.38,114.26
1/2/2020,65277,0.09,0.91
1/2/2020,88925,1.1,20.11
1/2/2020,88878,0.09,27.42
1/2/2020,49571,0.27,4.57
1/2/2020,25970,0.09,1.83
1/2/2020,86034,0.09,1.83
1/2/2020,79794,0.09,4.57
