time,lp_id,pct_access,engagement_index
1/01/2020,57513,0.49,141.28
1/01/2020,42091,0.04,0.41
1/01/2020,53399,0.04,8.19
1/01/2020,32213,0.9,44.23
1/01/2020,85836,0.04,0.41
1/01/2033,94158,0.04,0.41
1/01/2020,26488,0.41,117.94
1/01/2020,99916,1.19,80.67
1/01/2020,92867,0.04,2.05
1/01/2020,16164,0.04,0.41
1/01/2020,84146,0.04,1.64
1/01/2020,29322,0.16,24.57
1/01/2020,77698,0.04,1.23
1/01/2020,11206,0.04,0.41
1/01/2020,62934,0.04,0.41
1/01/2020,54430,0.04,1.23
1/01/2020,72758,0.04,6.14
1/01/2020,13205,0.04,0.41
1/01/2020,98265,0.04,0.82
1/01/2020,60051,0.08,0.82
1/01/2020,69863,0.04,0.82
1/01/2020,34168,0.04,3.28
1/01/2020,62318,0.04,7.78
1/01/2020,89050,0.04,0.41
1/01/2020,86059,0.08,13.1
1/01/2020,33478,0.04,0.82
1/01/2020,28504,0.04,0.41
1/01/2020,76649,0.49,6.14
1/01/2020,97280,0.08,10.24
1/01/2020,71805,0.2,7.78
1/01/2020,37153,0.04,0.41
1/01/2020,16753,0.04,0.41
1/01/2020,24711,0.04,0.41
1/01/2020,55589,0.04,10.24
1/01/2020,69827,0.37,13.51
1/01/2020,95731,1.35,157.25
1/01/2020,57084,0.66,65.93
1/01/2020,50282,0.04,0.41
1/01/2020,72676,0.04,1.23
1/01/2020,20226,0.04,1.23
1/01/2020,39048,0.04,0.41
1/01/2020,83248,0.08,9.01
1/01/2020,15225,0.04,0.82
1/01/2020,61384,0.04,40.13
1/01/2020,64948,0.04,2.05
1/01/2020,33185,0.29,29.48
1/01/2020,15254,0.41,132.27
2/01/2020,91165,0.04,1.23
2/01/2020,62318,0.04,14.74
2/01/2020,60051,0.08,1.23
2/01/2020,94324,0.08,4.1
2/01/2020,51340,0.08,0.82
2/01/2020,28504,0,
2/01/2020,32213,1.6,122.85
2/01/2020,94158,0.04,0.41
2/01/2020,53399,0.12,25.39
2/01/2020,64947,0.04,0.41
