time,lp_id,pct_access,engagement_index
1/01/2020,93690,0,
1/01/2020,17941,0.03,0.9
1/01/2020,65358,0.03,1.2
1/01/2020,98265,0.57,37.79
1/01/2020,59257,0,
1/01/2020,90153,0.06,3.9
1/01/2020,41587,0,
1/01/2022,29322,0.06,5.1
1/01/2020,37479,0,
1/01/2020,51340,0.09,1.2
1/01/2020,55278,0.03,0.3
1/01/2020,16406,0.06,497
1/01/2020,87342,0.06,22.8
1/01/2020,12803,0,
1/01/2020,17943,0,
1/01/2020,63502,0,
1/01/2020,11286,0.03,1.8
1/01/2020,57371,0.03,0.3
1/01/2020,33624,0.27,17.1
1/01/2020,50479,0.03,0.6
1/01/2020,28504,0.03,2.4
1/01/2020,77666,0,
1/01/2020,86059,0.03,6.3
1/01/2020,50168,0,
1/01/2020,54430,0.06,3
1/01/2020,16401,0.06,0.9
1/01/2020,71702,0,
1/01/2020,53399,0,
1/01/2020,19181,0.15,18.6
1/01/2020,61441,0,
1/01/2020,14001,0,
1/01/2020,57513,0,
1/01/2020,86407,0.06,5.1
1/01/2020,96116,0.12,2.4
1/01/2020,48454,0.03,0.9
1/01/2020,73952,0,
1/01/2020,86703,0,
1/01/2020,92871,0.93,59.09
1/01/2020,46752,0,
1/01/2020,32213,3.6,340.43
1/01/2020,61517,0,
1/01/2020,13326,0.03,0.3
1/01/2020,29286,0.03,0.6
1/01/2020,85836,0,
1/01/2020,89050,0.09,8.1
1/01/2020,64895,0,
1/01/2020,26488,1.05,411.22
1/01/2020,64838,0.03,8.7
1/01/2020,52175,0.03,0.6
1/01/2020,81400,0,
1/01/2020,76889,0.03,2.1
1/01/2020,32340,0.06,3.6
1/01/2020,46123,0,
1/01/2020,54827,0.18,27.29
1/01/2020,72932,0,
1/01/2020,79673,0.03,0.6
1/01/2020,37891,0.03,0.3
1/01/2020,72645,0,
1/01/2020,26753,0,
1/01/2020,92918,0.03,4.5
1/01/2020,59304,0,
1/01/2020,12816,0,
